,source_station_id,target_station_id,route_id,x_source,y_source,x_target,y_target,lon_source,lat_source,lon_target,lat_target,direction
67,place-alfcl,place-davis,red-b,130.710678137,127.27922057,140.71067814000003,127.27922057,-71.141287,42.39583,-71.141287,42.39583,0
0,place-gover,place-gover,green-c,193.137085,98.99494932,193.137085,98.99494932,-71.059215,42.359705,-71.059215,42.359705,0
1,place-forhl,place-forhl,orange,122.42640689,14.142135620000005,122.42640689,14.142135620000005,-71.113943,42.300713,-71.113943,42.300713,1
2,place-wondl,place-wondl,blue,266.77669529,134.35028838,266.77669529,134.35028838,-70.991648,42.41342,-70.991648,42.41342,0
3,place-bomnl,place-bomnl,blue,186.0660172,106.06601713,186.0660172,106.06601713,-71.062037,42.361365,-71.062037,42.361365,1
4,place-brntn,place-brntn,red-b,228.49242409,9.497474619999997,228.49242409,9.497474619999997,-71.001138,42.207854,-71.001138,42.207854,1
5,place-asmnl,place-asmnl,red-a,193.13708501,10.71067811999999,193.13708501,10.71067811999999,-71.063777,42.28452,-71.063777,42.28452,1
6,place-alfcl,place-alfcl,red-b,130.710678137,127.27922057,130.710678137,127.27922057,-71.141287,42.39583,-71.141287,42.39583,0
7,place-alfcl,place-alfcl,red-a,130.710678137,127.27922057,130.710678137,127.27922057,-71.141287,42.39583,-71.141287,42.39583,0
8,place-clmnl,place-clmnl,green-c,25.35533906,49.49747463,25.35533906,49.49747463,-71.149326,42.336142,-71.149326,42.336142,1
9,place-lake,place-lake,green-b,14.142135630000013,84.85281369999998,14.142135630000013,84.85281369999998,-71.166769,42.340081,-71.166769,42.340081,1
10,place-ogmnl,place-ogmnl,orange,207.27922063,168.99494932,207.27922063,168.99494932,-71.071097,42.43668,-71.071097,42.43668,0
11,place-gover,place-gover,green-b,193.137085,98.99494932,193.137085,98.99494932,-71.059215,42.359705,-71.059215,42.359705,0
12,place-spmnl,place-spmnl,green-c,193.137085,123.13708494,193.137085,123.13708494,-71.067666,42.366664,-71.067666,42.366664,0
13,place-river,place-river,green-d,34.14213562,0.0,34.14213562,0.0,-71.252685,42.337352,-71.252685,42.337352,1
14,place-hsmnl,place-hsmnl,green-e,85.35533905999999,1.213203399999987,85.35533905999999,1.213203399999987,-71.110252,42.328316,-71.110252,42.328316,1
